Scenario,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
SSP1,3252387.5,3402609.5,3509971.0,3593038.0,3644451.75,3669405.5,3679205.25,3670905.5,3640915.0,3596304.75,3539689.5,3463586.75,3385891.75,3296929.5,3216451.25,3133999.25,3042969.25
SSP2,3244324.0,3383683.5,3504948.25,3618519.0,3718353.5,3801608.25,3857455.5,3876862.5,3875852.0,3859396.5,3832775.5,3799605.0,3752521.0,3707593.75,3654458.25,3595151.25,3538322.5
SSP3,3298256.5,3491906.25,3668003.75,3832672.75,3978970.0,4117522.0,4241793.5,4339567.0,4417266.0,4486597.0,4547690.0,4597667.0,4668079.0,4747407.0,4822442.0,4906799.5,4969174.0
SSP4,3198654.0,3313448.0,3405692.5,3470288.5,3503402.75,3503948.0,3493027.0,3468353.5,3419112.5,3353519.5,3272003.5,3167424.5,3082020.5,2995557.0,2912738.0,2814330.0,2687465.5
SSP5,3173081.75,3266011.25,3350420.5,3401050.5,3409914.0,3408754.0,3396548.0,3360749.0,3303570.5,3242301.5,3163218.0,3073089.5,2995801.5,2916943.5,2845100.0,2759052.5,2652770.5
