Scenario,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
SSP1,86974791680.0,116261863424.0,152504205312.0,196761223168.0,249575194624.0,310995156992.0,380407709696.0,454988070912.0,532325040128.0,610900770816.0,689396318208.0,767374262272.0,840034942976.0,915625345024.0,992574832640.0,1077142093824.0
SSP2,85727068160.0,108660211712.0,128135995392.0,150658351104.0,177809047552.0,209401626624.0,244610334720.0,285962272768.0,331911200768.0,382000889856.0,436639367168.0,492428492800.0,550614990848.0,610738307072.0,671830376448.0,734358798336.0
SSP3,87448043520.0,107442085888.0,120258183168.0,133730738176.0,147338526720.0,161244184576.0,174735507456.0,188682813440.0,203783553024.0,219514896384.0,236406636544.0,255407210496.0,275553976320.0,295793917952.0,318164893696.0,340953333760.0
SSP4,85092106240.0,100829298688.0,107784388608.0,113096654848.0,116971511808.0,119733125120.0,121620103168.0,122092208128.0,121019555840.0,118838919168.0,115917053952.0,112793042944.0,109083516928.0,104850276352.0,100521246720.0,95525609472.0
SSP5,84612775936.0,117736030208.0,163920445440.0,221855629312.0,292866883584.0,376491180032.0,469973204992.0,570396180480.0,673105838080.0,776977252352.0,878290206720.0,982489235456.0,1082084818944.0,1176608309248.0,1264569548800.0,1339169570816.0
