Scenario,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
SSP1,0.1,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
SSP2,0.1,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
SSP3,0.1,0.15,0.15,0.16,0.18,0.19,0.2,0.2,0.2,0.2
SSP4,0.1,0.19,0.19,0.19,0.19,0.19,0.19,0.2,0.2,0.21
SSP5,0.1,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.22,0.22
